"Nombre Preferente","Idioma Nombre Preferente","Estatus Nombre Preferente","Variante","Idioma Variante","Grupo","Tipo Entidad","Municipio","Provincia","Comunidad Autónoma","Latitud A","Longitud A","Sistema de Referencia A","Latitud B","Longitud B","Sistema de Referencia B","Mapa","Fuente Nombre Preferente","Fuente Variante","Antes","Idioma Antes"
"Andalucía","spa","Oficial",,,"ADMIN","Comunidad autónoma",,,"Andalucía","37º23'","-5º59'","ED50","37º22'55""","-5º59'4""","ETRS89","0984","E. Autonomía",,,
"Aragón","spa","Oficial",,,"ADMIN","Comunidad autónoma",,,"Aragón","41º39'","-0º52'","ED50","41º38'55""","-0º52'4""","ETRS89","0383","E. Autonomía",,,
"Canarias","spa","Oficial",,,"ADMIN","Comunidad autónoma",,,"Canarias","28º05'","-15º24'","REGCAN95","28º05'","-15º24'","REGCAN95","1104","E. Autonomía",,,
"Cantabria","spa","Oficial",,,"ADMIN","Comunidad autónoma",,,"Cantabria","43º27'","-3º48'","ED50","43º26'55""","-3º48'5""","ETRS89","0035","E. Autonomía",,,
"Castilla y León","spa","Oficial",,,"ADMIN","Comunidad autónoma",,,"Castilla y León","41º39'","-4º43'","ED50","41º38'55""","-4º43'5""","ETRS89","0372","E. Autonomía",,,
"Castilla-La Mancha","spa","Oficial",,,"ADMIN","Comunidad autónoma",,,"Castilla-La Mancha","39º51'","-4º01'","ED50","39º50'55""","-4º1'4""","ETRS89","0629","E. Autonomía",,,
"Cataluña/Catalunya","spa/cat","Oficial",,,"ADMIN","Comunidad autónoma",,,"Cataluña/Catalunya","41º23'","2º10'","ED50","41º22'56""","2º9'56""","ETRS89","0421","E. Autonomía",,,
"Comunidad de Madrid","spa","Oficial",,,"ADMIN","Comunidad autónoma",,,"Comunidad de Madrid","40º24'","-3º41'","ED50","40º23'55""","-3º41'4""","ETRS89","0559","E. Autonomía",,,
"Comunidad Foral de Navarra","spa","Oficial",,,"ADMIN","Comunidad autónoma",,,"Comunidad Foral de Navarra","42º48'","-1º38'","ED50","42º47'56""","-1º38'4""","ETRS89","0141","E. Autonomía",,,
"Comunitat Valenciana","cat","Oficial",,,"ADMIN","Comunidad autónoma",,,"Comunitat Valenciana","39º32'","-0º41'","ED50","39º31'55""","-0º41'4""","ETRS89","0722","E. Autonomía",,"Comunidad Valenciana","spa"
"Extremadura","spa","Oficial",,,"ADMIN","Comunidad autónoma",,,"Extremadura","38º55'","-6º20'","ED50","38º54'55""","-6º20'4""","ETRS89","0777","E. Autonomía",,,
"Galicia","glg","Oficial",,,"ADMIN","Comunidad autónoma",,,"Galicia","42º52'","-8º32'","ED50","42º51'55""","-8º32'5""","ETRS89","0094","E. Autonomía",,,
"Illes Balears","cat","Oficial",,,"ADMIN","Comunidad autónoma",,,"Illes Balears","39º34'","2º39'","ED50","39º33'55""","2º38'56""","ETRS89","0698","E. Autonomía",,"Islas Baleares","spa"
"La Rioja","spa","Oficial",,,"ADMIN","Comunidad autónoma",,,"La Rioja","42º28'","-2º26'","ED50","42º27'55""","-2º26'4""","ETRS89","0204","E. Autonomía",,,
"País Vasco/Euskadi","spa/eus","Oficial",,,"ADMIN","Comunidad autónoma",,,"País Vasco/Euskadi","42º51'","-2º40'","ED50","42º50'55""","-2º40'4""","ETRS89","0112","E. Autonomía",,,
"Campo de Daroca","spa","Oficial",,,"ADMIN","Comarca administrativa",,"Zaragoza","Aragón","41º06'","-1º24'","ED50","41º5'55""","-1º24'4""","ETRS89","0465","REL",,,
"Cinco Villas","spa","Oficial",,,"ADMIN","Comarca administrativa",,"Zaragoza","Aragón","42º07'","-1º08'","ED50","42º6'55""","-1º8'4""","ETRS89","0284","REL",,,
"Comunidad de Calatayud","spa","Oficial",,,"ADMIN","Comarca administrativa",,"Zaragoza","Aragón","41º21'","-1º38'","ED50","41º20'55""","-1º38'4""","ETRS89","0409","REL",,,
"Ribera Alta del Ebro","spa","Oficial",,,"ADMIN","Comarca administrativa",,"Zaragoza","Aragón","41º46'","-1º07'","ED50","41º45'55""","-1º7'4""","ETRS89","0354","REL",,,
"Ribera Baja del Ebro","spa","Oficial",,,"ADMIN","Comarca administrativa",,"Zaragoza","Aragón","41º25'","-0º29'","ED50","41º24'55""","-0º29'4""","ETRS89","0413","REL",,,
"Tarazona y el Moncayo","spa","Oficial",,,"ADMIN","Comarca administrativa",,"Zaragoza","Aragón","41º54'","-1º43'","ED50","41º53'55""","-1º43'4""","ETRS89","0320","REL",,,
"Valdejalón","spa","Oficial",,,"ADMIN","Comarca administrativa",,"Zaragoza","Aragón","41º28'","-1º22'","ED50","41º27'55""","-1º22'4""","ETRS89","0410","REL",,,
"Hoya de Huesca/Plana de Uesca","spa/arg","Oficial",,,"ADMIN","Comarca administrativa",,"Huesca; Zaragoza","Aragón","42º08'","-0º24'","ED50","42º7'56""","-0º24'4""","ETRS89","0286","REL",,,
"La Litera/La Llitera","spa/cat","Oficial",,,"ADMIN","Comarca administrativa",,"Huesca","Aragón","41º51'","0º17'","ED50","41º50'56""","0º16'56""","ETRS89","0326","REL",,,
"Bajo Cinca/Baix Cinca","spa/cat","Oficial",,,"ADMIN","Comarca administrativa",,"Huesca; Zaragoza","Aragón","41º31'","0º21'","ED50","41º30'56""","0º20'56""","ETRS89","0387","REL",,,
"Matarraña/Matarranya","spa/cat","Oficial",,,"ADMIN","Comarca administrativa",,"Teruel","Aragón","40º52'","0º09'","ED50","40º51'55""","0º8'56""","ETRS89","0496","REL",,,
"Bajo Aragón-Caspe/Baix Aragó-Casp","spa/cat","Oficial",,,"ADMIN","Comarca administrativa",,"Zaragoza","Aragón","41º14'","-0º02'","ED50","41º13'55""","-0º2'4""","ETRS89","0442","REL",,,
"El Bierzo","spa","Oficial",,,"ADMIN","Comarca administrativa",,"León","Castilla y León","42º33'","-6º36'","ED50","42º32'55""","-6º37'5""","ETRS89","0158","REL",,,
"Alt Penedès","cat","Oficial",,,"ADMIN","Comarca administrativa",,"Barcelona","Cataluña/Catalunya","41º20'","1º41'","ED50","41º19'56""","1º40'56""","ETRS89","0419","REL",,,
"Anoia","cat","Oficial",,,"ADMIN","Comarca administrativa",,"Barcelona","Cataluña/Catalunya","41º34'","1º37'","ED50","41º31'56""","1º36'56""","ETRS89","0391","REL",,,
"Huesca","spa","Oficial",,,"ADMIN","Provincia",,"Huesca","Aragón","42º08'","-0º24'","ED50","42º7'56""","-0º24'4""","ETRS89","0286","REL",,,
"Teruel","spa","Oficial",,,"ADMIN","Provincia",,"Teruel","Aragón","40º20'","-1º06'","ED50","40º19'55""","-1º6'4""","ETRS89","0567","REL",,,
"Zaragoza","spa","Oficial",,,"ADMIN","Provincia",,"Zaragoza","Aragón","41º39'","-0º52'","ED50","41º38'55""","-0º52'4""","ETRS89","0383","REL",,,
"Las Palmas","spa","Oficial",,,"ADMIN","Provincia",,"Las Palmas","Canarias","28º07'","-15º25'","REGCAN95","28º07'","-15º25'","REGCAN95","1104","REL",,,
"Santa Cruz de Tenerife","spa","Oficial",,,"ADMIN","Provincia",,"Santa Cruz de Tenerife","Canarias","28º27'","-16º14'","REGCAN95","28º27'","-16º14'","REGCAN95","1089","REL",,,
"Cantabria","spa","Oficial",,,"ADMIN","Provincia",,"Cantabria","Cantabria","43º28'","-3º48'","ED50","43º27'55""","-3º48'5""","ETRS89","0035","REL",,,
"Ávila","spa","Oficial",,,"ADMIN","Provincia",,"Ávila","Castilla y León","40º39'","-4º42'","ED50","40º38'55""","-4º42'4""","ETRS89","0531","REL",,,
"Burgos","spa","Oficial",,,"ADMIN","Provincia",,"Burgos","Castilla y León","42º20'","-3º42'","ED50","42º19'55""","-3º42'5""","ETRS89","0200","REL",,,
"León","spa","Oficial",,,"ADMIN","Provincia",,"León","Castilla y León","42º36'","-5º34'","ED50","42º35'55""","-5º34'5""","ETRS89","0161","REL",,,
"Palencia","spa","Oficial",,,"ADMIN","Provincia",,"Palencia","Castilla y León","42º01'","-4º32'","ED50","42º0'55""","-4º32'5""","ETRS89","0273","REL",,,
"Salamanca","spa","Oficial",,,"ADMIN","Provincia",,"Salamanca","Castilla y León","40º58'","-5º40'","ED50","40º57'55""","-5º40'5""","ETRS89","0478","REL",,,
"Vallès Oriental","cat","Oficial",,,"ADMIN","Comarca administrativa",,"Barcelona","Cataluña/Catalunya","41º36'","2º17'","ED50","41º35'56""","2º16'56""","ETRS89","0393","REL",,,
"Osona","cat","Oficial",,,"ADMIN","Comarca administrativa",,"Barcelona; Girona","Cataluña/Catalunya","41º55'","2º15'","ED50","41º54'56""","2º14'56""","ETRS89","0332","REL",,,
"Berguedà","cat","Oficial",,,"ADMIN","Comarca administrativa",,"Barcelona; Lleida","Cataluña/Catalunya","42º06'","1º50'","ED50","42º5'56""","1º49'56""","ETRS89","0293","REL",,,
"Alt Empordà","cat","Oficial",,,"ADMIN","Comarca administrativa",,"Girona","Cataluña/Catalunya","42º16'","2º57'","ED50","42º15'56""","2º56'56""","ETRS89","0258","REL",,,
"Baix Empordà","cat","Oficial",,,"ADMIN","Comarca administrativa",,"Girona","Cataluña/Catalunya","41º57'","3º02'","ED50","41º56'56""","3º1'56""","ETRS89","0334","REL",,,
"Solsonès","cat","Oficial",,,"ADMIN","Comarca administrativa",,"Lleida","Cataluña/Catalunya","41º59'","1º31'","ED50","42º3'56""","1º30'56""","ETRS89","0330","REL",,,
"Urgell","cat","Oficial",,,"ADMIN","Comarca administrativa",,"Lleida","Cataluña/Catalunya","41º38'","1º08'","ED50","41º37'56""","1º7'56""","ETRS89","0389","REL",,,
"Alt Camp","cat","Oficial",,,"ADMIN","Comarca administrativa",,"Tarragona","Cataluña/Catalunya","41º17'","1º15'","ED50","41º16'56""","1º14'56""","ETRS89","0446","REL",,,
"Baix Camp","cat","Oficial",,,"ADMIN","Comarca administrativa",,"Tarragona","Cataluña/Catalunya","41º09'","1º06'","ED50","41º8'56""","1º5'56""","ETRS89","0472","REL",,,
"Baix Ebre","cat","Oficial",,,"ADMIN","Comarca administrativa",,"Tarragona","Cataluña/Catalunya","40º48'","0º31'","ED50","40º47'55""","0º30'56""","ETRS89","0522","REL",,,
"Baix Penedès","cat","Oficial",,,"ADMIN","Comarca administrativa",,"Tarragona","Cataluña/Catalunya","41º13'","1º32'","ED50","41º12'56""","1º31'56""","ETRS89","0447","REL",,,
"Conca de Barberà","cat","Oficial",,,"ADMIN","Comarca administrativa",,"Tarragona","Cataluña/Catalunya","41º22'","1º09'","ED50","41º21'56""","1º8'56""","ETRS89","0418","REL",,,
"Montsià","cat","Oficial",,,"ADMIN","Comarca administrativa",,"Tarragona","Cataluña/Catalunya","40º42'","0º34'","ED50","40º41'55""","0º33'56""","ETRS89","0522","REL",,,
"Priorat","cat","Oficial",,,"ADMIN","Comarca administrativa",,"Tarragona","Cataluña/Catalunya","41º08'","0º49'","ED50","41º7'55""","0º49'56""","ETRS89","0472","REL",,,
"Ribera d'Ebre","cat","Oficial",,,"ADMIN","Comarca administrativa",,"Tarragona","Cataluña/Catalunya","41º05'","0º38'","ED50","41º4'55""","0º37'56""","ETRS89","0471","REL",,,
"Tarragonès","cat","Oficial",,,"ADMIN","Comarca administrativa",,"Tarragona","Cataluña/Catalunya","41º06'","1º14'","ED50","41º5'56""","1º13'56""","ETRS89","0473","REL",,,
"Terra Alta","cat","Oficial",,,"ADMIN","Comarca administrativa",,"Tarragona","Cataluña/Catalunya","41º03'","0º26'","ED50","41º2'55""","0º25'56""","ETRS89","0470","REL",,,
"Val d'Aran","oci","Oficial",,,"ADMIN","Comarca administrativa",,"Lleida","Cataluña/Catalunya","42º42'","0º47'","ED50","42º41'56""","0º46'56""","ETRS89","0148","REL",,"Vall d'Aran","oci"
"Cuadrilla de Añana/Añanako Eskualdea","spa/eus","Oficial",,,"ADMIN","Comarca administrativa",,"Araba/Álava","País Vasco/Euskadi","42º48'","-2º59'","ED50","42º47'55""","-2º59'5""","ETRS89","0137","REL",,,
"Barcelona","cat","Oficial",,,"POBLA","Capital de CCAA",,"Barcelona","Cataluña/Catalunya","41º23'","2º10'","ED50","41º22'56""","2º9'56""","ETRS89","0421","REL",,,
"Aroche","spa","Oficial",,,"POBLA","Población 2",,"Huelva","Andalucía","37º56'","-6º57'","ED50","37º55'55""","-6º57'4""","ETRS89","0916","REL",,,
"Ayamonte","spa","Oficial",,,"POBLA","Población 2",,"Huelva","Andalucía","37º13'","-7º24'","ED50","37º12'55""","-7º24'4""","ETRS89","0998","REL",,,
"Beas","spa","Oficial",,,"POBLA","Población 2",,"Huelva","Andalucía","37º25'","-6º47'","ED50","37º24'55""","-6º47'4""","ETRS89","0982","REL",,,
"Bollullos Par del Condado","spa","Oficial",,,"POBLA","Población 2",,"Huelva","Andalucía","37º20'","-6º32'","ED50","37º19'55""","-6º32'4""","ETRS89","0982","REL",,,
"Bonares","spa","Oficial",,,"POBLA","Población 2",,"Huelva","Andalucía","37º19'","-6º40'","ED50","37º18'55""","-6º40'4""","ETRS89","1000","REL",,,
"Calañas","spa","Oficial",,,"POBLA","Población 2",,"Huelva","Andalucía","37º39'","-6º52'","ED50","37º38'55""","-6º52'4""","ETRS89","0959","REL",,,
"El Campillo","spa","Oficial",,,"POBLA","Población 2",,"Huelva","Andalucía","37º41'","-6º37'","ED50","37º40'55""","-6º37'4""","ETRS89","0938","REL",,,
"Cartaya","spa","Oficial",,,"POBLA","Población 2",,"Huelva","Andalucía","37º17'","-7º09'","ED50","37º16'55""","-7º9'4""","ETRS89","0999","REL",,,
"El Cerro de Andévalo","spa","Oficial",,,"POBLA","Población 2",,"Huelva","Andalucía","37º44'","-6º56'","ED50","37º43'55""","-6º56'4""","ETRS89","0937","REL",,,
"Chucena","spa","Oficial",,,"POBLA","Población 2",,"Huelva","Andalucía","37º22'","-6º23'","ED50","37º21'55""","-6º23'4""","ETRS89","0983","REL",,,
"Cortegana","spa","Oficial",,,"POBLA","Población 2",,"Huelva","Andalucía","37º54'","-6º49'","ED50","37º53'55""","-6º49'4""","ETRS89","0917","REL",,,
"Escacena del Campo","spa","Oficial",,,"POBLA","Población 2",,"Huelva","Andalucía","37º24'","-6º23'","ED50","37º23'55""","-6º23'4""","ETRS89","0983","REL",,,
"Gibraleón","spa","Oficial",,,"POBLA","Población 2",,"Huelva","Andalucía","37º22'","-6º58'","ED50","37º21'55""","-6º58'4""","ETRS89","0981","REL",,,
"Hinojos","spa","Oficial",,,"POBLA","Población 2",,"Huelva","Andalucía","37º17'","-6º22'","ED50","37º16'55""","-6º22'4""","ETRS89","1001","REL",,,
"Isla Cristina","spa","Oficial",,,"POBLA","Población 2",,"Huelva","Andalucía","37º12'","-7º19'","ED50","37º11'55""","-7º19'4""","ETRS89","0998","REL",,,
"Lepe","spa","Oficial",,,"POBLA","Población 2",,"Huelva","Andalucía","37º15'","-7º12'","ED50","37º14'55""","-7º12'4""","ETRS89","0998","REL",,,
"Sierra de Cabrejas","spa",,,,"OROGR","Sierra",,"Soria","Castilla y León","41º47'","-2º42'","ED50","41º46'55""","-2º42'4""","ETRS89","0349","1:1 millón",,,
"Sierra de la Cabrera","spa",,,,"OROGR","Sierra",,"León","Castilla y León","42º14'","-6º40'","ED50","42º13'55""","-6º40'5""","ETRS89","0229","1:1 millón",,,
"Cordillera Cantábrica","spa",,,,"OROGR","Sierra",,"Palencia","Castilla y León","43º02'","-4º48'","ED50","43º1'55""","-4º48'5""","ETRS89","0081","1:1 millón",,,
"Sierra Cebollera","spa",,,,"OROGR","Sierra",,"Soria","Castilla y León","41º59'","-2º37'","ED50","41º58'55""","-2º37'4""","ETRS89","0317","1:1 millón",,,
"Sistema Central","spa",,,,"OROGR","Sierra",,"Ávila","Castilla y León","40º38'","-4º20'","ED50","40º37'55""","-4º20'4""","ETRS89","0532","1:1 millón",,,
"Sierra de Covarrubias","spa",,,,"OROGR","Sierra",,"Burgos","Castilla y León","42º06'","-3º30'","ED50","42º5'55""","-3º30'4""","ETRS89","0276","1:1 millón",,,
"Sierra de la Culebra","spa",,,,"OROGR","Sierra",,"Zamora","Castilla y León","41º54'","-6º17'","ED50","41º53'55""","-6º17'5""","ETRS89","0306","1:1 millón",,,
"Sierra de la Demanda","spa",,,,"OROGR","Sierra",,"Burgos","Castilla y León","42º12'","-3º10'","ED50","42º11'55""","-3º10'4""","ETRS89","0240","1:1 millón",,,
"Carboneras","spa","Oficial",,,"POBLA","Población 2",,"Almería","Andalucía","37º00'","-1º53'","ED50","36º59'55""","-1º53'4""","ETRS89","1046","REL",,,
"Cuevas del Almanzora","spa","Oficial",,,"POBLA","Población 2",,"Almería","Andalucía","37º17'","-1º52'","ED50","37º16'55""","-1º52'4""","ETRS89","1014","REL",,,
"Dalías","spa","Oficial",,,"POBLA","Población 2",,"Almería","Andalucía","36º49'","-2º52'","ED50","36º48'55""","-2º52'4""","ETRS89","1057","REL",,,
"El Ejido","spa","Oficial",,,"POBLA","Población 2",,"Almería","Andalucía","36º46'","-2º48'","ED50","36º45'55""","-2º48'4""","ETRS89","1058","REL",,,
"Fiñana","spa","Oficial",,,"POBLA","Población 2",,"Almería","Andalucía","37º10'","-2º50'","ED50","37º9'55""","-2º50'4""","ETRS89","1012","REL",,,
"Gádor","spa","Oficial",,,"POBLA","Población 2",,"Almería","Andalucía","36º57'","-2º29'","ED50","36º56'55""","-2º29'4""","ETRS89","1045","REL",,,
"Garrucha","spa","Oficial",,,"POBLA","Población 2",,"Almería","Andalucía","37º11'","-1º49'","ED50","37º10'55""","-1º49'4""","ETRS89","1015","REL",,,
"Huércal de Almería","spa","Oficial",,,"POBLA","Población 2",,"Almería","Andalucía","36º53'","-2º26'","ED50","36º52'55""","-2º26'4""","ETRS89","1045","REL",,,
"Huércal-Overa","spa","Oficial",,,"POBLA","Población 2",,"Almería","Andalucía","37º23'","-1º56'","ED50","37º22'55""","-1º56'4""","ETRS89","0996","REL",,,
"Macael","spa","Oficial",,,"POBLA","Población 2",,"Almería","Andalucía","37º20'","-2º18'","ED50","37º19'55""","-2º18'4""","ETRS89","1013","REL",,,
"La Mojonera","spa","Oficial",,,"POBLA","Población 2",,"Almería","Andalucía","36º45'","-2º40'","ED50","36º44'55""","-2º40'4""","ETRS89","1058","REL",,,
"Níjar","spa","Oficial",,,"POBLA","Población 2",,"Almería","Andalucía","36º58'","-2º12'","ED50","36º57'55""","-2º12'4""","ETRS89","1045","REL",,,
"Olula del Río","spa","Oficial",,,"POBLA","Población 2",,"Almería","Andalucía","37º21'","-2º17'","ED50","37º20'55""","-2º17'4""","ETRS89","0995","REL",,,
"Pechina","spa","Oficial",,,"POBLA","Población 2",,"Almería","Andalucía","36º55'","-2º26'","ED50","36º54'55""","-2º26'4""","ETRS89","1045","REL",,,
"Pulpí","spa","Oficial",,,"POBLA","Población 2",,"Almería","Andalucía","37º24'","-1º44'","ED50","37º23'55""","-1º44'4""","ETRS89","0997","REL",,,
"Roquetas de Mar","spa","Oficial",,,"POBLA","Población 2",,"Almería","Andalucía","36º44'","-2º37'","ED50","36º43'55""","-2º37'4""","ETRS89","1058","REL",,,
"Tabernas","spa","Oficial",,,"POBLA","Población 2",,"Almería","Andalucía","37º03'","-2º23'","ED50","37º2'55""","-2º23'4""","ETRS89","1030","REL",,,
"Tíjola","spa","Oficial",,,"POBLA","Población 2",,"Almería","Andalucía","37º20'","-2º26'","ED50","37º19'55""","-2º26'4""","ETRS89","0995","REL",,,
"Turre","spa","Oficial",,,"POBLA","Población 2",,"Almería","Andalucía","37º09'","-1º53'","ED50","37º8'55""","-1º53'4""","ETRS89","1031","REL",,,
"Vélez-Rubio","spa","Oficial",,,"POBLA","Población 2",,"Almería","Andalucía","37º38'","-2º04'","ED50","37º37'55""","-2º4'4""","ETRS89","0974","REL",,,
"Vera","spa","Oficial",,,"POBLA","Población 2",,"Almería","Andalucía","37º14'","-1º52'","ED50","37º13'55""","-1º52'4""","ETRS89","1014","REL",,,
"Viator","spa","Oficial",,,"POBLA","Población 2",,"Almería","Andalucía","36º53'","-2º25'","ED50","36º52'55""","-2º25'4""","ETRS89","1045","REL",,,
"Alcalá de los Gazules","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º27'","-5º43'","ED50","36º26'55""","-5º43'4""","ETRS89","1070","REL",,,
"Alcalá del Valle","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º54'","-5º10'","ED50","36º53'55""","-5º10'4""","ETRS89","1037","REL",,,
"Algodonales","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º52'","-5º24'","ED50","36º51'55""","-5º24'4""","ETRS89","1036","REL",,,
"Arcos de la Frontera","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º44'","-5º48'","ED50","36º43'55""","-5º48'4""","ETRS89","1049","REL",,,
"Barbate","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º11'","-5º56'","ED50","36º10'55""","-5º56'4""","ETRS89","1073","REL",,,
"Los Barrios","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º11'","-5º29'","ED50","36º10'55""","-5º29'4""","ETRS89","1075","REL",,,
"Benalup-Casas Viejas","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º20'","-5º48'","ED50","36º19'55""","-5º48'4""","ETRS89","1070","REL",,,
"Bornos","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º49'","-5º44'","ED50","36º48'55""","-5º44'4""","ETRS89","1049","REL",,,
"Castellar de la Frontera","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º17'","-5º25'","ED50","36º16'55""","-5º25'4""","ETRS89","1075","REL",,,
"Chipiona","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º44'","-6º26'","ED50","36º43'55""","-6º26'4""","ETRS89","1047","REL",,,
"Conil de la Frontera","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º16'","-6º05'","ED50","36º15'55""","-6º5'4""","ETRS89","1073","REL",,,
"Espera","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º52'","-5º48'","ED50","36º51'55""","-5º48'4""","ETRS89","1035","REL",,,
"Jimena de la Frontera","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º26'","-5º27'","ED50","36º25'55""","-5º27'4""","ETRS89","1071","REL",,,
"Medina-Sidonia","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º27'","-5º55'","ED50","36º26'55""","-5º55'4""","ETRS89","1069","REL",,,
"Olvera","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º56'","-5º16'","ED50","36º55'55""","-5º16'4""","ETRS89","1036","REL",,,
"Paterna de Rivera","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º31'","-5º51'","ED50","36º30'55""","-5º51'4""","ETRS89","1062","REL",,,
"Prado del Rey","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º47'","-5º33'","ED50","36º46'55""","-5º33'4""","ETRS89","1049","REL",,,
"El Puerto de Santa María","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º36'","-6º14'","ED50","36º35'55""","-6º14'4""","ETRS89","1061","REL",,,
"Puerto Real","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º32'","-6º11'","ED50","36º31'55""","-6º11'4""","ETRS89","1062","REL",,,
"Puerto Serrano","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º55'","-5º32'","ED50","36º54'55""","-5º32'4""","ETRS89","1035","REL",,,
"Rota","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º37'","-6º21'","ED50","36º36'55""","-6º21'4""","ETRS89","1061","REL",,,
"San José del Valle","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º36'","-5º47'","ED50","36º35'55""","-5º47'4""","ETRS89","1063","REL",,,
"San Roque","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º13'","-5º23'","ED50","36º12'55""","-5º23'4""","ETRS89","1075","REL",,,
"Sanlúcar de Barrameda","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º46'","-6º21'","ED50","36º45'55""","-6º21'4""","ETRS89","1047","REL",,,
"Setenil de las Bodegas","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º51'","-5º10'","ED50","36º50'55""","-5º10'4""","ETRS89","1037","REL",,,
"Tarifa","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º01'","-5º36'","ED50","36º0'55""","-5º36'4""","ETRS89","1077","REL",,,
"Trebujena","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º52'","-6º10'","ED50","36º51'55""","-6º10'4""","ETRS89","1034","REL",,,
"Ubrique","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º40'","-5º26'","ED50","36º39'55""","-5º26'4""","ETRS89","1050","REL",,,
"Vejer de la Frontera","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º15'","-5º58'","ED50","36º14'55""","-5º58'4""","ETRS89","1073","REL",,,
"Villamartín","spa","Oficial",,,"POBLA","Población 2",,"Cádiz","Andalucía","36º51'","-5º38'","ED50","36º50'55""","-5º38'4""","ETRS89","1035","REL",,,
"Adamuz","spa","Oficial",,,"POBLA","Población 2",,"Córdoba","Andalucía","38º01'","-4º31'","ED50","38º0'55""","-4º31'4""","ETRS89","0902","REL",,,
"Aguilar de la Frontera","spa","Oficial",,,"POBLA","Población 2",,"Córdoba","Andalucía","37º31'","-4º39'","ED50","37º30'55""","-4º39'4""","ETRS89","0966","REL",,,
"Almodóvar del Río","spa","Oficial",,,"POBLA","Población 2",,"Córdoba","Andalucía","37º48'","-5º01'","ED50","37º47'55""","-5º1'4""","ETRS89","0943","REL",,,
"Baena","spa","Oficial",,,"POBLA","Población 2",,"Córdoba","Andalucía","37º36'","-4º19'","ED50","37º35'55""","-4º19'4""","ETRS89","0967","REL",,,
"Belalcázar","spa","Oficial",,,"POBLA","Población 2",,"Córdoba","Andalucía","38º34'","-5º09'","ED50","38º33'55""","-5º9'4""","ETRS89","0833","REL",,,
"Belmez","spa","Oficial",,,"POBLA","Población 2",,"Córdoba","Andalucía","38º16'","-5º12'","ED50","38º15'55""","-5º12'4""","ETRS89","0879","REL",,,
"Benamejí","spa","Oficial",,,"POBLA","Población 2",,"Córdoba","Andalucía","37º16'","-4º32'","ED50","37º15'55""","-4º32'4""","ETRS89","1006","REL",,,
"Bujalance","spa","Oficial",,,"POBLA","Población 2",,"Córdoba","Andalucía","37º53'","-4º22'","ED50","37º52'55""","-4º22'4""","ETRS89","0924","REL",,,
"Cabra","spa","Oficial",,,"POBLA","Población 2",,"Córdoba","Andalucía","37º28'","-4º26'","ED50","37º27'55""","-4º26'4""","ETRS89","0989","REL",,,
"Cañete de las Torres","spa","Oficial",,,"POBLA","Población 2",,"Córdoba","Andalucía","37º52'","-4º18'","ED50","37º51'55""","-4º18'4""","ETRS89","0924","REL",,,
"Carcabuey","spa","Oficial",,,"POBLA","Población 2",,"Córdoba","Andalucía","37º26'","-4º16'","ED50","37º25'55""","-4º16'4""","ETRS89","0989","REL",,,
"La Carlota","spa","Oficial",,,"POBLA","Población 2",,"Córdoba","Andalucía","37º40'","-4º55'","ED50","37º39'55""","-4º55'4""","ETRS89","0943","REL",,,
"El Carpio","spa","Oficial",,,"POBLA","Población 2",,"Córdoba","Andalucía","37º56'","-4º29'","ED50","37º55'55""","-4º29'4""","ETRS89","0924","REL",,,
